ID,ID2,NAME,NoCollared,Pack,DATE_,Season,EASTING,NORTHING,HOW_OBTAIN,CONFIDENCE,PackID,elevati
305,1724,87,1,Bow valley,3/19/05,winter,587600,5673900,2,1,2,1492
306,1725,87,1,Bow valley,3/27/05,winter,579200,5678200,2,1,2,1431
307,1726,87,1,Bow valley,3/29/05,winter,577700,5679050,2,1,2,1433
308,1727,87,1,Bow valley,3/30/05,winter,577760,5678700,2,1,2,1433
309,1728,87,1,Bow valley,3/31/05,winter,584050,5675970,2,2,2,1442
310,1729,87,1,Bow valley,4/2/05,winter,574700,5682000,2,2,2,1627
311,1730,87,1,Bow valley,4/5/05,winter,584500,5676500,2,1,2,1504
312,1731,87,1,Bow valley,4/7/05,winter,584550,5676600,2,1,2,1525
313,1732,87,1,Bow valley,2/19/05,winter,588200,5672300,2,1,2,1427
314,1733,87,1,Bow valley,2/28/05,winter,589000,5670600,2,1,2,1402
315,1734,87,1,Bow valley,3/7/05,winter,585750,5675250,2,1,2,1426
316,1735,87,1,Bow valley,3/9/05,winter,585750,5675100,2,1,2,1415
317,1736,87,1,Bow valley,3/21/05,winter,591750,5666800,2,2,2,1465
318,1,60,1,Red Deer,3/7/02,winter,580840,5724800,2,2,1,1766
319,2,42,1,Red Deer,2/21/02,winter,580000,5724195,2,1,1,1788
320,3,42,1,Red Deer,12/18/01,winter,579800,5724800,2,1,1,1766
321,5,42,1,Red Deer,1/9/02,winter,583803,5725654,1,1,1,1744
322,9,42,1,Red Deer,2/27/02,winter,573900,5741316,1,1,1,1993
323,11,42,1,Red Deer,3/20/02,winter,588573,5728804,1,1,1,1776
324,13,42,2,Red Deer,3/21/02,winter,580785,5724966,1,1,1,1765
325,14,60,2,Red Deer,3/21/02,winter,580785,5724966,1,1,1,1765
326,17,42,1,Red Deer,1/28/02,winter,583410,5725264,1,1,1,1717
327,18,42,2,Red Deer,4/2/02,winter,584234,5725034,1,1,1,1709
328,19,60,2,Red Deer,4/2/02,winter,584234,5725034,1,1,1,1709
329,21,42,1,Red Deer,3/7/02,winter,583114,5726123,1,1,1,1825
330,26,42,1,Red Deer,3/7/02,winter,584350,5725300,1,1,1,1713
331,64,42,1,Red Deer,12/5/01,winter,575450,5717684,1,1,1,2005
332,168,60,2,Red Deer,10/19/02,winter,558480,5719440,1,1,1,2226
333,169,42,2,Red Deer,10/19/02,winter,558480,5719440,1,1,1,2226
334,183,42,2,Red Deer,11/23/02,winter,576430,5738410,1,1,1,2172
335,184,60,2,Red Deer,11/23/02,winter,576430,5738410,1,1,1,2172
336,187,42,2,Red Deer,11/29/02,winter,570610,5710430,1,1,1,2092
337,188,60,2,Red Deer,11/29/02,winter,570610,5710430,1,1,1,2092
338,193,60,2,Red Deer,12/14/02,winter,559311,5716123,1,1,1,2003
339,194,42,2,Red Deer,12/14/02,winter,559311,5716123,1,1,1,2003
340,212,42,1,Red Deer,12/5/02,winter,584800,5724900,2,2,1,1711
341,213,60,1,Red Deer,12/5/02,winter,584270,5725360,2,1,1,1715
342,215,60,1,Red Deer,12/6/02,winter,584050,5725750,2,1,1,1734
343,216,42,1,Red Deer,12/6/02,winter,583650,5725850,2,1,1,1769
344,262,42,2,Red Deer,11/23/02,winter,576430,5738410,1,1,1,2172
345,263,60,2,Red Deer,11/23/02,winter,576430,5738410,1,1,1,2172
346,264,60,2,Red Deer,11/29/02,winter,570610,5710430,1,1,1,2092
